,유튜버,월,term
552,SOONSIKI,2023/02,10.0
553,SOONSIKI,2023/03,9.0
554,SOONSIKI,2023/04,10.0
555,SOONSIKI,2023/05,5.0
556,SOONSIKI,2023/06,7.0
557,SOONSIKI,2023/07,7.0
558,SOONSIKI,2023/08,7.0
559,SSUIMAG,2022/08,15.0
560,SSUIMAG,2022/09,15.0
561,SSUIMAG,2022/10,17.0
562,SSUIMAG,2022/11,14.0
563,SSUIMAG,2022/12,15.0
564,SSUIMAG,2023/01,16.0
565,SSUIMAG,2023/02,15.0
566,SSUIMAG,2023/03,15.0
567,SSUIMAG,2023/04,14.0
568,SSUIMAG,2023/05,15.0
569,SSUIMAG,2023/06,16.0
570,SSUIMAG,2023/07,15.0
571,SSUIMAG,2023/08,7.0
598,SUMINI,2022/08,193.0
599,SUMINI,2022/09,193.0
600,SUMINI,2022/10,193.0
601,SUMINI,2022/11,193.0
602,SUMINI,2022/12,193.0
603,SUMINI,2023/01,193.0
604,SUMINI,2023/02,96.0
605,SUMINI,2023/03,96.0
606,SUMINI,2023/04,96.0
607,SUMINI,2023/05,96.0
608,SUMINI,2023/06,96.0
609,SUMINI,2023/07,0.0
610,SUMINI,2023/08,0.0
611,Summer-mute썸뮤,2022/08,43.0
612,Summer-mute썸뮤,2022/09,43.0
613,Summer-mute썸뮤,2022/10,43.0
614,Summer-mute썸뮤,2022/11,37.0
615,Summer-mute썸뮤,2022/12,37.0
616,Summer-mute썸뮤,2023/01,37.0
617,Summer-mute썸뮤,2023/02,37.0
618,Summer-mute썸뮤,2023/03,45.0
619,Summer-mute썸뮤,2023/04,66.0
620,Summer-mute썸뮤,2023/05,21.0
621,Summer-mute썸뮤,2023/06,21.0
622,Summer-mute썸뮤,2023/07,21.0
623,Summer-mute썸뮤,2023/08,21.0
624,Syong'sbeauty숑스뷰티,2022/08,4.0
625,Syong'sbeauty숑스뷰티,2022/09,5.0
626,Syong'sbeauty숑스뷰티,2022/10,5.0
627,Syong'sbeauty숑스뷰티,2022/11,5.0
628,Syong'sbeauty숑스뷰티,2022/12,5.0
629,Syong'sbeauty숑스뷰티,2023/01,5.0
630,Syong'sbeauty숑스뷰티,2023/02,7.0
631,Syong'sbeauty숑스뷰티,2023/03,7.0
632,Syong'sbeauty숑스뷰티,2023/04,7.0
633,Syong'sbeauty숑스뷰티,2023/05,8.0
634,Syong'sbeauty숑스뷰티,2023/06,9.0
635,Syong'sbeauty숑스뷰티,2023/07,10.0
636,Syong'sbeauty숑스뷰티,2023/08,11.0
637,tency텐씨,2022/08,32.0
638,tency텐씨,2022/09,30.0
639,tency텐씨,2022/10,30.0
640,tency텐씨,2022/11,29.0
641,tency텐씨,2022/12,23.0
642,tency텐씨,2023/01,23.0
643,tency텐씨,2023/02,23.0
644,tency텐씨,2023/03,20.0
645,tency텐씨,2023/04,20.0
646,tency텐씨,2023/05,21.0
647,tency텐씨,2023/06,22.0
648,tency텐씨,2023/07,18.0
649,tency텐씨,2023/08,17.0
650,VIVA여나,2022/08,47.0
651,VIVA여나,2022/09,47.0
652,VIVA여나,2022/10,60.0
653,VIVA여나,2022/11,98.0
654,VIVA여나,2022/12,98.0
655,VIVA여나,2023/01,98.0
656,VIVA여나,2023/02,149.0
657,VIVA여나,2023/03,149.0
658,VIVA여나,2023/04,149.0
659,VIVA여나,2023/05,149.0
660,VIVA여나,2023/06,158.0
661,VIVA여나,2023/07,158.0
662,VIVA여나,2023/08,158.0
663,wandashow,2022/08,2.0
664,wandashow,2022/09,2.0
665,wandashow,2022/10,3.0
666,wandashow,2022/11,3.0
667,wandashow,2022/12,3.0
668,wandashow,2023/01,3.0
669,wandashow,2023/02,3.0
670,wandashow,2023/03,3.0
671,wandashow,2023/04,4.0
672,wandashow,2023/05,4.0
673,wandashow,2023/06,5.0
674,wandashow,2023/07,5.0
675,wandashow,2023/08,6.0
676,wonhee,2022/08,24.0
677,wonhee,2022/09,29.0
678,wonhee,2022/10,34.0
679,wonhee,2022/11,37.0
680,wonhee,2022/12,39.0
681,wonhee,2023/01,40.0
682,wonhee,2023/02,35.0
683,wonhee,2023/03,33.0
684,wonhee,2023/04,34.0
685,wonhee,2023/05,39.0
686,wonhee,2023/06,39.0
687,wonhee,2023/07,26.0
688,wonhee,2023/08,27.0
689,yootrue_in_air,2022/08,4.0
690,yootrue_in_air,2022/09,4.0
691,yootrue_in_air,2022/10,5.0
692,yootrue_in_air,2022/11,5.0
693,yootrue_in_air,2022/12,5.0
694,yootrue_in_air,2023/01,5.0
695,yootrue_in_air,2023/02,5.0
696,yootrue_in_air,2023/03,5.0
697,yootrue_in_air,2023/04,5.0
698,yootrue_in_air,2023/05,5.0
699,yootrue_in_air,2023/06,5.0
700,yootrue_in_air,2023/07,5.0
701,yootrue_in_air,2023/08,5.0
702,zoopeach 지우,2022/08,71.0
703,zoopeach 지우,2022/09,73.0
704,zoopeach 지우,2022/10,73.0
705,zoopeach 지우,2022/11,70.0
706,zoopeach 지우,2022/12,70.0
707,zoopeach 지우,2023/01,69.0
708,zoopeach 지우,2023/02,69.0
709,zoopeach 지우,2023/03,66.0
710,zoopeach 지우,2023/04,46.0
711,zoopeach 지우,2023/05,38.0
712,zoopeach 지우,2023/06,38.0
713,zoopeach 지우,2023/07,38.0
714,zoopeach 지우,2023/08,38.0
715,강성,2022/08,33.0
716,강성,2022/09,26.0
717,강성,2022/10,26.0
718,강성,2022/11,23.0
719,강성,2022/12,24.0
720,강성,2023/01,24.0
721,강성,2023/02,28.0
722,강성,2023/03,28.0
723,강성,2023/04,28.0
724,강성,2023/05,28.0
725,강성,2023/06,32.0
726,강성,2023/07,29.0
727,강성,2023/08,23.0
728,거노건호geonoGH,2022/08,19.0
729,거노건호geonoGH,2022/09,18.0
730,거노건호geonoGH,2022/10,17.0
731,거노건호geonoGH,2022/11,22.0
732,거노건호geonoGH,2022/12,24.0
733,거노건호geonoGH,2023/01,26.0
